,tconst,averageRating,numVotes
111078,tt0160484,4.8,11179
111084,tt0160495,4.7,1019
111115,tt0160547,4.9,427
111146,tt0160611,6.3,14163
111148,tt0160616,5.7,294
111158,tt0160644,5.5,3514
111161,tt0160652,4.6,358
111165,tt0160663,5.5,272
111188,tt0160706,5.3,914
111190,tt0160710,6.8,286
111210,tt0160749,6.1,1003
111211,tt0160751,7.8,20
111218,tt0160759,6.7,168
111232,tt0160797,6.4,49205
111263,tt0160859,3.4,111
111271,tt0160870,5.2,47
111294,tt0160905,5.2,609
111345,tt0161003,5.2,273
111355,tt0161021,7.7,20
111384,tt0161081,6.6,131452
111385,tt0161083,5.4,16363
111388,tt0161088,3.1,330
111471,tt0161216,6.4,2370
111756,tt0161860,7.5,13694
111847,tt0162030,3.3,344
111923,tt0162203,5.2,39
111929,tt0162222,7.8,613476
111973,tt0162346,7.3,123985
112069,tt0162650,6.0,79114
112093,tt0162711,4.9,1608
112154,tt0162838,5.5,287
112244,tt0162983,4.8,12948
112272,tt0163025,5.9,332065
112289,tt0163080,5.8,519
112310,tt0163125,5.3,371
112368,tt0163246,3.4,205
112542,tt0163566,4.6,108
112557,tt0163596,5.1,201
112596,tt0163676,4.6,4738
112624,tt0163745,6.4,675
112635,tt0163764,5.9,264
112749,tt0163978,6.6,246820
112752,tt0163983,5.1,15069
112766,tt0164003,5.9,5652
112795,tt0164052,5.8,134960
112869,tt0164182,8.3,14
112870,tt0164184,6.4,121145
112876,tt0164192,4.7,780
112889,tt0164212,6.4,26855
112948,tt0164318,5.6,346
112956,tt0164334,6.4,92642
113047,tt0164545,3.7,493
113153,tt0164810,6.1,1050
113215,tt0164953,6.9,30
113218,tt0164961,6.4,22763
113435,tt0165361,6.1,6643
113462,tt0165400,3.5,270
113494,tt0165452,3.2,48
113602,tt0165642,3.2,177
113646,tt0165713,6.5,12
113699,tt0165800,3.9,641
113720,tt0165832,7.6,34907
113759,tt0165899,8.1,12
113778,tt0165928,4.5,254
113779,tt0165929,6.1,72323
113808,tt0165982,6.7,57289
113829,tt0166013,6.4,768
113896,tt0166110,4.4,7948
113925,tt0166158,5.6,2482
113945,tt0166186,5.6,73
113947,tt0166192,5.6,219
113996,tt0166276,4.8,18708
114036,tt0166339,7.8,10
114048,tt0166370,4.8,1979
114301,tt0166813,7.2,81169
114363,tt0166924,7.9,369226
114469,tt0167116,6.0,3364
114509,tt0167183,4.8,220
114512,tt0167190,6.8,339935
114520,tt0167203,5.5,4774
114558,tt0167260,9.0,1899060
114559,tt0167261,8.8,1713825
114618,tt0167360,5.4,961
114669,tt0167456,4.3,14217
115258,tt0168446,7.1,3390
115295,tt0168504,5.6,1716
115299,tt0168509,6.2,28
115303,tt0168515,7.6,763
115325,tt0168578,4.5,142
115337,tt0168612,5.3,162
115343,tt0168629,7.9,113508
115344,tt0168631,4.7,632
115387,tt0168714,2.5,29
115420,tt0168786,7.3,37202
115447,tt0168856,6.0,6992
115544,tt0169102,8.1,117461
115553,tt0169122,3.5,483
115642,tt0169324,5.7,858
115764,tt0169543,5.6,764
115781,tt0169579,6.4,42
115972,tt0170008,5.4,168
115975,tt0170016,6.3,269819
116126,tt0170367,5.8,40
116170,tt0170452,5.1,643
116194,tt0170508,6.8,206
116280,tt0170691,6.9,42385
116577,tt0171339,3.1,115
116586,tt0171356,5.6,7704
116588,tt0171359,5.9,9804
116624,tt0171433,6.4,52716
116689,tt0171580,6.3,35784
116801,tt0171827,8.9,86
116948,tt0172156,6.6,259648
116962,tt0172182,6.7,115
117050,tt0172464,3.1,504
117063,tt0172495,8.5,1546218
117083,tt0172543,7.0,3920
117119,tt0172632,6.6,1629
117147,tt0172699,4.6,247
117179,tt0172794,4.0,434
117243,tt0172949,3.8,85
117256,tt0172995,5.5,211
117433,tt0173498,4.9,323
117471,tt0173568,6.2,379
117557,tt0173716,6.2,16268
117630,tt0173840,6.4,83211
117891,tt0174336,4.5,4276
117973,tt0174480,5.6,27461
118047,tt0174646,6.5,43
118082,tt0174732,6.1,152
118232,tt0175038,5.3,30
118274,tt0175114,7.3,27
118284,tt0175142,6.2,273170
118813,tt0176185,4.3,313
118847,tt0176244,3.9,467
119003,tt0176578,6.9,14
119004,tt0176579,2.5,504
119056,tt0176694,8.0,1034
119102,tt0176783,5.9,17194
119136,tt0176883,5.2,302
119221,tt0177068,5.2,790
119273,tt0177185,3.8,450
119276,tt0177195,4.1,423
119284,tt0177213,7.3,60
119426,tt0177513,5.3,40
119493,tt0177636,5.5,294
119500,tt0177650,5.2,2143
119589,tt0177845,6.2,1429
119599,tt0177858,7.7,22500
119609,tt0177882,6.6,5151
119610,tt0177885,4.5,489
119612,tt0177888,5.9,583
119658,tt0177971,6.5,173281
119676,tt0177997,3.8,367
119702,tt0178043,6.2,1336
119707,tt0178050,5.6,1744
120058,tt0178642,5.5,3135
120339,tt0179098,6.6,14449
120364,tt0179144,6.2,56
120384,tt0179183,4.5,7165
120470,tt0179344,2.6,218
120498,tt0179400,5.8,77
120519,tt0179435,5.3,749
120521,tt0179443,3.5,1099
120537,tt0179473,4.1,1561
120621,tt0179626,6.1,51259
120634,tt0179653,7.1,74
120730,tt0179803,4.8,156
120764,tt0179861,3.5,1253
120885,tt0180052,3.9,26542
120898,tt0180073,7.2,55656
120910,tt0180093,8.3,866775
121261,tt0180679,6.3,1936
121262,tt0180683,6.1,142
121292,tt0180734,6.4,32604
121567,tt0181151,5.6,9710
121663,tt0181311,5.6,828
121797,tt0181536,7.3,88002
121830,tt0181594,7.7,50
121886,tt0181689,7.6,568002
121912,tt0181739,6.3,37587
121963,tt0181836,5.7,2457
121971,tt0181852,6.3,409726
121975,tt0181865,7.6,214324
121982,tt0181875,7.9,285193
122021,tt0181945,5.5,150
122043,tt0181984,7.0,55169
122051,tt0182000,5.8,8021
122064,tt0182027,5.9,82
122216,tt0182295,5.9,4781
122310,tt0182508,6.9,3123
122603,tt0183056,6.8,1110
122634,tt0183113,5.3,92
122650,tt0183142,2.5,255
122727,tt0183280,3.3,402
122819,tt0183423,3.9,124
122855,tt0183488,6.7,61
122866,tt0183505,6.6,244594
